Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
------------------------------------------------------------------------------------+--------------+----------------------------+--------------------------------+------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.23.jar (modloader)                                            |              | forge                      | forge                          | fmlloader-1.20.1-47.4.23.jar |                                                                                                                                                                                                                                                                                            |                                          |                
3d-armor-0.9.4.1-mod.jar                                                            |              | armor_3d                   | 3D Armor                       | 0.9.4.1                      |                                                                                                                                                                                                                                                                                            | 24eebd039a423baa00cc8289283ea4003804a145 | 510535918      
[3D 皮肤层] skinlayers3d-forge-1.11.2-mc1.20.1.jar                                     |              | skinlayers3d               | 3d-Skin-Layers                 | 1.11.2                       | skinlayers3d.mixins.json, skinlayers3d.refmap.mixins.json                                                                                                                                                                                                                                  | 473b49e775f4c9dd746929f20c33f8132b86f235 | 714373265      
    /META-INF/jars/TRansition-1.0.21-1.20.1-forge-SNAPSHOT.jar                      |              | transition                 | TRansition                     | 1.0.21                       | transition.mixins.json, transition.refmap.mixins.json                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jars/TRender-1.0.15-1.20.1-forge-SNAPSHOT.jar                         |              | trender                    | TRender                        | 1.0.15                       | trender.mixins.json, trender.refmap.mixins.json                                                                                                                                                                                                                                            |                                          |                
[FTB 任务] ftb-quests-forge-2001.4.22.jar                                             |              | ftbquests                  | FTB Quests                     | 2001.4.22                    |                                                                                                                                                                                                                                                                                            | 70f3bd771ab3b5921ce1ff5f14166fab694ca1aa | 1456505092     
[FTB 团队] ftb-teams-forge-2001.3.2.jar                                               |              | ftbteams                   | FTB Teams                      | 2001.3.2                     |                                                                                                                                                                                                                                                                                            | c49023f5d471aa1ba7fc624d2565fe9e82b7117e | 816412664      
[REI物品管理器] RoughlyEnoughItems-12.1.785-forge.jar                                    |              | roughlyenoughitems         | Roughly Enough Items (REI)     | 12.1.785                     | rei.mixins.json                                                                                                                                                                                                                                                                            | 9289cb01c920c1e539034f53ba3736095a2d4410 | 4101930970     
[TaCZ：绿葡萄战术装备] lrtactical-1.20.1-0.4.3.jar                                          |              | lrtactical                 | LesRaisins Tactical Equipments | 0.4.3                        | lrtactical.mixins.json                                                                                                                                                                                                                                                                     | 49670df2d364b48c538de5dd44d464d5ed6f8817 | 3473687940     
[农夫乐事] FarmersDelight-1.20.1-1.3.2.jar                                              |              | farmersdelight             | Farmer's Delight               | 1.20.1-1.3.2                 | farmersdelight.mixins.json                                                                                                                                                                                                                                                                 | 397763ae36dc2e0f526e0338c875850437580157 | 2239282096     
[卓越前线] superbwarfare-0.8.9-final-mc1.20.1-6effe4385-all.jar                         |              | superbwarfare              | Superb Warfare                 | 0.8.9                        | mixins.superbwarfare.json, mixins.superbwarfare.refmap.json                                                                                                                                                                                                                                | 3869bd1b156a8eb4db3e1b655ca4705f77be2558 | 608182302      
    /META-INF/jarjar/simplebedrockmodel-2.3.3-forge-mc1.20.1.jar                    |              | simplebedrockmodel         | SimpleBedrockModel             | 2.3.3-forge-mc1.20.1         | simplebedrockmodel.mixins.json                                                                                                                                                                                                                                                             |                                          |                
        /META-INF/jarjar/mae-1.1.2.jar                                              |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
[吃不停] AlwaysEat-5.2.jar                                                             |              | salwayseat                 | AlwaysEat                      | 5.2                          |                                                                                                                                                                                                                                                                                            | 250cafb62c3f73cce919a56899ebd94424036735 | 1474521581     
[唢呐生存指南] Sona-1.20.1-forge-1.5.1.jar                                                |              | sona                       | Sona Survival 101              | 1.5.1                        | sona.mixins.json                                                                                                                                                                                                                                                                           | 3e76c5ab7de2f1e9029ed28c1d7379916d62643f | 2443949949     
